Names,Email,Phones
"Прачечная, ИП Баркарь С.А.",stirka_ykt@mail.ru,"+7 (4112) 36‒62‒64"
"Силуэт, химчистка",,"+7 (4112) 42‒88‒52"
"Баат, банно-прачечный комбинат",,"+7 (4112) 42‒69‒63, +7 (4112) 42‒69‒64"
"Феникс, общественная организация инвалидов",,"+7‒914‒230‒46‒45, +7‒924‒766‒23‒32, +7 (4112) 26‒23‒32"
"Свежесть, прачечная",,"+7 (4112) 21‒75‒63, +7‒914‒227‒06‒83"
"АкВа, прачечная",,"+7‒924‒870‒29‒92, +7‒914‒108‒28‒88"
Ариель,,+7‒964‒418‒55‒34
"Фея, прачечная",,"+7 (4112) 710‒331, +7‒914‒2‒710‒331"
"Чистюля, прачечная-мастерская",,"+7‒914‒279‒72‒30, +7‒924‒167‒19‒81"
Прачечная,,
"Лилия, мобильная прачечная",,"+7‒924‒869‒62‒19, +7‒914‒109‒60‒14"
"Прачечная, ИП Шульгина Д.Т.",,"+7‒914‒106‒48‒18, +7‒914‒221‒06‒62"
Прачечная,,+7‒924‒468‒51‒52
Прачечная,,
Прачечная,,+7‒914‒2‒70‒48‒49
"ПРОСТРАНСТВО, фотостудия",prostranstvo2017@yandex.ru,+7‒914‒2‒70‒55‒51
"Универс, полиграфическая компания",,"+7 (4112) 356‒000, +7‒962‒737‒71‒77"
"Veroniko Style, имидж-студия",,"+7‒924‒766‒00‒21, +7 (4112) 31‒87‒00"
"АРТ Алгыс, компания по изготовлению свадебных наборов и пригласительных",,"+7‒914‒102‒75‒19, +7‒914‒300‒87‒47"
"Байарр, компания полиграфических услуг",,+7‒914‒109‒15‒11
"Loft, студия",,"+7 (4112) 26‒35‒15, +7‒924‒766‒35‒15"
"Sreda, мультимедийная студия",,"+7‒914‒2‒717‒816, +7‒914‒239‒12‒66"
"Paparazzi, фотосалон",,"+7‒924‒872‒61‒27, +7‒914‒303‒11‒78"
"Спектр, фотосалон",,"+7 (4112) 44‒45‒44, +7‒924‒176‒91‒50"
"Ответ, студия коммерческого видео",,+7‒914‒2‒706‒396
Фотосалон,,+7‒967‒912‒59‒14
"Zerkalo, фотостудия",,"+7‒914‒271‒63‒19, +7‒914‒272‒25‒22"
"Феникс, общественная организация инвалидов",,"+7‒914‒230‒46‒45, +7‒924‒766‒23‒32, +7 (4112) 26‒23‒32"
"KiWi, фотостудия",,+7‒914‒110‒88‒80
"Фотостудия Михаила Лугового",,+7‒914‒274‒24‒10
"Юпитер, фотосалон",,+7‒924‒662‒26‒63
