Names;Email;Phones
Автостекло на Ярославского, центр по продаже и замене автостекла;zzzz11@mail.ru;+7‒914‒2‒703‒995
Моя тачка, магазин автозапчастей Lada, Renault, Toyota;zorin-mf@mail.ru;
Золотой ковш, гостиничный комплекс;zolotoi_kovsh2013@mail.ru;+7‒914‒2‒717‒283, +7 (4112) 25‒25‒83
Востоктехторг, АО, торговая компания;zaovtt@yandex.ru;
Автоломбард Гарант, ООО, ломбард цифровой техники и автомобилей;zamena_led@mail.ru;+7‒984‒101‒48‒75, +7‒914‒2‒742‒544
Плюс Минус, магазин контактных линз и оправ;zakazlinzykt@mail.ru;
Дэлэгэй, ООО, сельскохозяйственная торговая компания;zahar_klimentov@mail.ru;+7‒914‒109‒08‒09, +7‒924‒177‒26‒63, +7‒968‒150‒55‒99, +7‒914‒228‒18‒18
Грузовое такси;z9bliki@gmail.com;+7‒914‒2‒700‒370
Зелёный ветер, магазин парфюмерии и косметики;z_veter@mail.ru;+7 (4112) 34‒07‒76
ФинКраска, студия колеровки лакокрасочных материалов;ysdsun@mail.ru;+7‒914‒2‒72‒03‒10, +7‒914‒2‒72‒53‒16, +7‒984‒118‒78‒84
Чистая вода, торгово-производственная компания;yktwater@mail.ru;+7 (4112) 40‒44‒44
Elite Aqua, служба доставки артезианской питьевой воды;yktwater@mail.ru;+7 (4112) 46‒05‒05
АХСЫМ, рекламно-полиграфический центр;yktpr@mail.ru;+7‒964‒415‒81‒28, +7‒965‒997‒23‒90
Экоресурс, ООО, компания по экспертизе и регистрации транспортных средств в ГИБДД;yktauto@mail.ru;+7 (4112) 25‒47‒27, +7‒924‒765‒47‒27
Окна ТУТ, компания по производству и продаже окон и алюминиевых конструкций;ykt061274@gmail.com;+7‒914‒105‒58‒32, +7‒924‒171‒64‒15, +7 (4112) 25‒65‒45
ТрейдТранс, ООО, логистическая компания;ykt@trade-trans.ru, info@trade-trans.ru;+7‒924‒870‒07‒70, +7‒924‒569‒07‒70, 8‒800‒250‒95‒82
Елена, сеть автомагазинов;ykt.seaparts@yandex.ru;
Респект, сервисный центр по ремонту ноутбуков, планшетов и телефонов;ykt.respect@gmail.com;+7 (4112) 25‒61‒18, +7‒914‒2‒70‒61‒18, +7 (4112) 36‒61‒18, +7‒924‒765‒61‒18
Якт-тур, туристическая фирма;ykt-tour@mail.ru;+7 (4112) 25‒00‒52, +7‒914‒280‒97‒75, +7 (4112) 26‒14‒00
Крылья Якутии, агентство воздушных сообщений;ykt_niagara@mail.ru;+7‒914‒2‒72‒34‒64
Якутский книжный дом, сеть магазинов книг и канцелярских товаров;ykd.books@mail.ru;
Навигатор, учебный центр;ycnavigator@mail.ru;+7‒914‒2‒750‒461, +7‒914‒303‒11‒92, +7 (4112) 40‒34‒10, +7‒914‒303‒11‒69
Якутская республиканская офтальмологическая клиническая больница;yarob2008@mail.ru;
Япошка, центр авторазбора;yaposhka14rus@mail.ru;+7 (4112) 40‒30‒42, +7‒914‒2‒720‒143, +7‒924‒460‒60‒88
Топ Мебель, производственная фирма;yakutskexpress@gmail.com;+7‒968‒154‒15‒01, +7‒914‒2‒740‒834, +7‒914‒2‒74‒24‒64
Респект, салон ноутбуков;yakutsk@respect.ru;+7 (4112) 43‒55‒44, +7 (4112) 44‒55‒44
